,date,type_objet,nombre_objets_perdus
153,2016-03-04 00:00:00+00:00,Pièces d'identités et papiers personnels,154
154,2016-03-04 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",195
155,2016-03-04 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",15
156,2016-03-04 00:00:00+00:00,"Vêtements, chaussures",212
157,2016-03-11 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",234
158,2016-03-11 00:00:00+00:00,"Articles d'enfants, de puériculture",19
159,2016-03-11 00:00:00+00:00,"Articles de sport, loisirs, camping",10
160,2016-03-11 00:00:00+00:00,Articles médicaux,4
161,2016-03-11 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",456
162,2016-03-11 00:00:00+00:00,"Bijoux, montres",13
163,2016-03-11 00:00:00+00:00,"Clés, porte-clés, badge magnétique",95
164,2016-03-11 00:00:00+00:00,Divers,32
165,2016-03-11 00:00:00+00:00,Instruments de musique,4
166,2016-03-11 00:00:00+00:00,"Livres, articles de papéterie",52
167,2016-03-11 00:00:00+00:00,Optique,94
168,2016-03-11 00:00:00+00:00,Parapluies,39
169,2016-03-11 00:00:00+00:00,Pièces d'identités et papiers personnels,149
170,2016-03-11 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",186
171,2016-03-11 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",23
172,2016-03-11 00:00:00+00:00,"Vêtements, chaussures",192
173,2016-03-18 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",265
174,2016-03-18 00:00:00+00:00,"Articles d'enfants, de puériculture",13
175,2016-03-18 00:00:00+00:00,"Articles de sport, loisirs, camping",22
176,2016-03-18 00:00:00+00:00,Articles médicaux,11
177,2016-03-18 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",512
178,2016-03-18 00:00:00+00:00,"Bijoux, montres",16
179,2016-03-18 00:00:00+00:00,"Clés, porte-clés, badge magnétique",90
180,2016-03-18 00:00:00+00:00,Divers,31
181,2016-03-18 00:00:00+00:00,Instruments de musique,1
182,2016-03-18 00:00:00+00:00,"Livres, articles de papéterie",46
183,2016-03-18 00:00:00+00:00,Optique,98
184,2016-03-18 00:00:00+00:00,Parapluies,14
185,2016-03-18 00:00:00+00:00,Pièces d'identités et papiers personnels,128
186,2016-03-18 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",174
187,2016-03-18 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",17
188,2016-03-18 00:00:00+00:00,"Vêtements, chaussures",189
189,2016-03-25 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",270
190,2016-03-25 00:00:00+00:00,"Articles d'enfants, de puériculture",27
191,2016-03-25 00:00:00+00:00,"Articles de sport, loisirs, camping",15
192,2016-03-25 00:00:00+00:00,Articles médicaux,10
193,2016-03-25 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",541
194,2016-03-25 00:00:00+00:00,"Bijoux, montres",18
195,2016-03-25 00:00:00+00:00,"Clés, porte-clés, badge magnétique",104
196,2016-03-25 00:00:00+00:00,Divers,35
197,2016-03-25 00:00:00+00:00,Instruments de musique,10
198,2016-03-25 00:00:00+00:00,"Livres, articles de papéterie",53
199,2016-03-25 00:00:00+00:00,Optique,102
200,2016-03-25 00:00:00+00:00,Parapluies,19
201,2016-03-25 00:00:00+00:00,Pièces d'identités et papiers personnels,170
202,2016-03-25 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",198
203,2016-03-25 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",16
204,2016-03-25 00:00:00+00:00,"Vêtements, chaussures",206
